gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description	phrog	category
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_11	4789	5523	735	-1	0.291	11	AGGAG	GENOMAD.222032.VP	9.861e-39	147	0	0	0	1246	Caudoviricetes	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_12	5525	6379	855	-1	0.299	11	AGxAGG/AGGxGG	GENOMAD.120931.VP	3.236e-07	54	0	0	1	1246	Caudoviricetes	NA	NA	PF09588;COG5377;TIGR03033;K01143	Phage-related protein, predicted endonuclease	149	DNA, RNA and nucleotide metabolism
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_13	6369	7112	744	-1	0.290	11	AGGAG	GENOMAD.178041.VP	6.214e-18	86	0	0	0	1246	Caudoviricetes	NA	NA	PF03374;PF09669;COG3645;TIGR02681	Phage antirepressor protein YoqD, KilAC domain	8235	transcription regulation
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_14	7109	7291	183	-1	0.257	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_15	7434	7631	198	1	0.308	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_16	7624	7776	153	-1	0.255	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG228	Arc-like repressor	228	transcription regulation
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_17	7773	8027	255	-1	0.227	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG19688	hypothetical protein	19688	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_18	8018	8287	270	-1	0.211	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG20039	hypothetical protein	20039	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_19	8645	8917	273	-1	0.245	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG20252	hypothetical protein	20252	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_20	9096	9866	771	1	0.278	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG8741	hypothetical protein	8741	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_21	9878	10153	276	-1	0.228	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_22	10140	10643	504	-1	0.276	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG1281	hypothetical protein	1281	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_23	10709	11383	675	-1	0.296	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG14168	nuclease	14168	DNA, RNA and nucleotide metabolism
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_24	11391	12164	774	-1	0.198	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_25	12161	12892	732	-1	0.254	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG4	transcriptional repressor	4	transcription regulation
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_26	13033	13248	216	1	0.296	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_27	13401	13766	366	-1	0.254	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_28	13809	14810	1002	1	0.288	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG16760	hypothetical protein	16760	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_29	14821	15471	651	1	0.263	11	AGGAG	GENOMAD.198911.VV	1.342e-112	359	0	0	0	1	NA	NA	NA	PHROG4214	hypothetical protein	4214	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_30	15489	15869	381	1	0.273	11	None	GENOMAD.102596.VV	4.871e-71	234	0	0	0	1246	Caudoviricetes	NA	NA	COG4570	Holliday junction resolvase RusA (prophage-encoded endonuclease)	6537	DNA, RNA and nucleotide metabolism
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_31	15869	16255	387	1	0.315	11	AGxAGG/AGGxGG	GENOMAD.095267.VV	9.436e-06	46	0	0	1	1246	Caudoviricetes	NA	NA	PF16677	DNA-packaging protein gp3	606	head and packaging
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_32	16252	17544	1293	1	0.324	11	AGxAG	GENOMAD.147571.VP	7.708e-16	83	0	0	1	1246	Caudoviricetes	NA	NA	PF20441;COG5362	Terminase large subunit, endonuclease domain	2	head and packaging
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_33	17534	17806	273	1	0.253	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG6425	hypothetical protein	6425	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_34	17787	19325	1539	1	0.310	11	GGAG/GAGG	GENOMAD.010901.VV	1.037e-141	459	0	0	1	1246	Caudoviricetes	NA	NA	PF12236;TIGR01538	Bacteriophage head to tail connecting protein	332	connector
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_35	19318	19521	204	1	0.230	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG6940	hypothetical protein	6940	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_36	19511	20158	648	1	0.329	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG6897	hypothetical protein	6897	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_37	20169	20549	381	1	0.294	11	AGGAG	GENOMAD.140149.VV	1.32e-68	227	0	0	0	1246	Caudoviricetes	NA	NA	PHROG6508	hypothetical protein	6508	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_38	20814	21953	1140	1	0.303	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG10391	hypothetical protein	10391	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_39	21953	25654	3702	1	0.283	11	AGGA	GENOMAD.224067.VP	0.0	1613	0	0	0	1246	Caudoviricetes	NA	NA	PHROG6717	hypothetical protein	6717	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_40	26144	26371	228	1	0.259	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_41	26364	26834	471	1	0.259	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	hypothetical protein	No_PHROG	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_42	27062	27853	792	-1	0.241	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG25249	hypothetical protein	25249	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_43	28003	28671	669	1	0.277	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG2657	transcriptional regulator	2657	transcription regulation
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_44	28749	29783	1035	1	0.332	11	AGGAG	GENOMAD.196779.VV	2.492e-124	400	0	0	0	1246	Caudoviricetes	NA	NA	PF17236	Phage capsid-like protein	1328	head and packaging
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_45	29783	30187	405	1	0.291	11	GGA/GAG/AGG	GENOMAD.149874.VV	7.862e-29	113	0	0	0	1246	Caudoviricetes	NA	NA	PHROG9292	hypothetical protein	9292	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_46	30168	30362	195	1	0.262	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG9606	hypothetical protein	9606	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_47	30365	33007	2643	1	0.255	11	GGA/GAG/AGG	GENOMAD.217649.VV	4.559e-57	219	0	0	0	1	NA	NA	NA	PHROG29292	hypothetical protein	29292	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_48	33009	33458	450	1	0.307	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG8495	hypothetical protein	8495	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_49	33471	34106	636	1	0.244	11	GGA/GAG/AGG	GENOMAD.211489.VV	7.563e-65	221	0	0	0	8574	Fletchervirus	NA	NA	PF14301	hypothetical protein	3811	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_50	34103	34486	384	1	0.305	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG9120	hypothetical protein	9120	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_51	34479	34853	375	1	0.299	11	AGGA	GENOMAD.215092.VV	5.208e-12	64	0	0	0	1246	Caudoviricetes	NA	NA	PF07087	tail assembly chaperone	1158	tail
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_52	34850	36130	1281	1	0.276	11	GGA/GAG/AGG	GENOMAD.088098.VV	1.761e-131	425	0	0	0	8574	Fletchervirus	NA	NA	PHROG5132	hypothetical protein	5132	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_53	36179	36640	462	1	0.284	11	AGGA	GENOMAD.072314.VV	1.386e-11	64	0	0	0	2629	Schmidvirus	NA	NA	PF18925	hypothetical protein	1501	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_54	36637	37065	429	1	0.270	11	None	GENOMAD.217141.VV	3.607e-49	172	0	0	0	1246	Caudoviricetes	NA	NA	PHROG8566	hypothetical protein	8566	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_55	37173	37664	492	1	0.315	11	AGGAG	GENOMAD.186608.VV	2.964e-86	280	0	0	0	1246	Caudoviricetes	NA	NA	PHROG20915	hypothetical protein	20915	unknown function
IMGVR_UViG_2516143084_000002_2516143084_2516153134_60681-100068_56	37664	39388	1725	1	0.281	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	PHROG20028	hypothetical protein	20028	unknown function
